second,Q1 Count,Q2 Count,Q3 Count,Q4 Count
317,29,16,4,10
318,30,14,6,14
319,29,16,5,11
320,34,15,3,13
321,23,18,3,12
322,28,16,5,14
323,30,18,6,15
324,36,15,4,15
325,28,15,7,12
326,30,17,8,10
327,32,16,8,10
328,35,14,8,10
329,31,16,4,12
330,36,17,5,12
331,35,17,4,11
332,37,18,3,9
333,31,17,3,8
334,27,17,4,8
335,30,20,4,7
336,27,21,2,10
337,30,18,4,13
338,32,22,4,13
339,31,20,8,11
340,42,18,5,8
341,43,18,7,7
342,35,18,6,6
343,39,19,7,10
344,39,14,6,11
345,41,18,6,10
346,37,14,8,8
347,45,24,8,12
348,42,16,8,12
349,46,19,7,10
350,32,21,7,14
351,40,17,5,12
352,37,21,9,11
353,30,22,8,8
354,43,17,12,10
355,35,20,12,9
356,39,21,13,9
357,40,23,11,8
358,42,26,12,8
359,35,22,10,7
360,28,20,8,8
361,27,25,7,9
362,28,20,7,8
363,30,20,8,8
364,25,25,9,9
365,34,18,8,7
366,38,23,6,4
367,31,23,6,4
368,30,29,5,9
369,27,28,6,9
370,29,25,5,7
371,36,27,6,9
372,28,29,5,7
373,32,25,7,4
374,38,29,6,6
375,36,26,5,10
376,31,24,6,4
377,33,26,3,4
378,35,24,6,4
379,34,25,4,4
380,35,25,8,1
381,39,23,8,2
382,35,30,6,3
383,38,27,9,2
384,46,31,9,2
385,47,27,7,4
386,37,29,12,4
387,36,27,11,5
388,26,27,11,9
389,33,29,10,11
390,37,28,9,10
391,36,26,10,7
392,33,26,10,9
393,43,30,9,11
394,38,34,12,10
395,45,31,13,15
396,52,29,15,13
397,40,28,12,7
398,47,28,13,7
399,42,22,10,8
400,47,23,10,12
401,42,26,10,9
402,39,36,11,10
403,50,34,13,8
404,48,35,12,12
405,46,33,10,14
406,57,31,17,15
407,51,25,11,16
408,38,28,10,11
409,42,32,10,13
410,45,32,8,18
411,45,28,12,18
412,33,25,16,13
413,43,32,9,11
414,46,24,8,10
415,45,29,10,10
416,46,26,11,11
417,49,30,11,11
418,51,29,8,11
419,54,27,12,10
420,59,29,11,15
421,53,25,12,10
422,45,30,8,13
423,45,29,9,9
424,47,34,10,11
425,48,34,11,10
426,43,36,12,11
427,47,36,8,14
428,51,33,6,23
429,52,29,3,25
430,52,41,6,22
431,62,35,9,22
432,52,33,14,19
433,56,30,11,17
434,50,30,12,23
435,38,31,12,23
436,48,24,15,24
437,48,25,15,21
438,46,28,13,23
439,44,33,10,23
440,42,34,12,25
441,44,33,9,29
442,51,32,8,26
443,50,39,9,27
444,48,32,11,26
445,46,34,16,24
446,50,33,18,20
447,44,38,22,22
448,46,30,18,22
449,49,26,21,20
450,52,27,16,24
451,51,32,15,25
452,51,41,17,21
453,45,37,19,23
454,61,34,21,22
455,46,38,22,23
456,60,40,19,30
457,58,41,16,30
458,46,48,17,23
459,39,38,20,26
460,36,43,23,24
461,41,37,21,21
462,44,46,13,24
463,48,44,17,26
464,48,42,14,24
465,57,49,16,23
466,53,33,11,25
467,52,39,14,20
468,44,35,12,20
469,38,38,14,19
470,56,36,12,18
471,56,37,8,18
472,54,30,12,17
473,56,36,8,19
474,60,41,8,15
475,52,43,9,17
476,51,52,8,15
477,43,48,10,16
478,46,49,13,18
479,56,47,14,15
480,53,39,13,14
481,53,56,12,17
482,50,48,20,18
483,49,48,18,20
484,45,52,20,16
485,42,55,17,16
486,39,53,21,17
487,42,52,18,18
488,36,51,15,22
489,49,48,12,24
490,45,45,19,18
491,58,42,18,16
492,47,49,27,16
493,46,43,15,18
494,46,45,15,20
495,41,43,16,21
496,49,43,15,21
497,46,46,12,20
498,48,48,11,20
499,42,50,10,20
500,41,37,8,20
501,44,39,12,19
502,41,41,13,22
503,50,36,10,24
504,43,46,9,22
505,41,46,11,23
506,40,52,13,21
507,34,52,15,20
508,39,49,10,20
509,48,54,9,26
510,51,59,15,22
511,36,50,18,22
512,41,42,25,20
513,47,47,26,17
514,48,48,30,18
515,37,56,25,20
516,53,59,28,16
517,40,54,25,21
518,52,51,29,20
519,51,51,20,28
520,45,52,23,26
521,45,59,22,26
522,48,62,25,31
523,54,54,14,31
524,52,63,20,36
525,58,59,18,31
526,62,69,16,23
527,57,61,13,27
528,56,60,12,26
529,50,56,19,24
530,64,63,19,23
531,55,56,20,32
532,59,53,23,30
533,51,49,23,32
534,54,48,26,32
535,61,51,28,28
536,57,42,34,32
537,53,54,27,35
538,49,51,31,40
539,53,44,34,32
540,65,46,38,28
541,56,45,43,27
